borough,bin,block,lot,community_board,filing_date,issuance_date,permit_type,job_type,permit_year,permit_month,approval_lag_days,is_new_building
Staten Island,5169077,3803,29,502.0,2017-06-22,2017-06-22,NB,NB,2017,6,0.0,1
Brooklyn,3418133,3451,9,304.0,2016-07-06,2017-03-10,NB,NB,2016,7,247.0,1
Queens,4117438,5202,42,407.0,2017-03-20,2017-03-20,NB,NB,2017,3,0.0,1
Brooklyn,3421389,330,48,306.0,2017-04-07,2017-04-07,NB,NB,2017,4,0.0,1
Queens,4146072,6727,34,407.0,2016-06-30,2016-06-30,NB,NB,2016,6,0.0,1
Bronx,2128434,5715,187,208.0,2017-01-27,2017-11-08,NB,NB,2017,1,285.0,1
Brooklyn,3425402,2559,24,301.0,2017-11-03,2017-11-06,NB,NB,2017,11,3.0,1
Queens,4615090,15950,7501,414.0,2017-11-08,2017-11-08,NB,NB,2017,11,0.0,1
Bronx,2127104,2351,50,201.0,2017-11-13,2017-11-13,NB,NB,2017,11,0.0,1
Bronx,2127104,2351,50,201.0,2017-11-14,2017-11-14,NB,NB,2017,11,0.0,1
Brooklyn,3845877,5404,40,312.0,2017-11-16,2017-11-16,NB,NB,2017,11,0.0,1
Queens,4617742,475,30,401.0,2015-01-26,2015-07-14,NB,NB,2015,1,169.0,1
Brooklyn,3425405,1788,24,303.0,2015-08-07,2015-08-07,NB,NB,2015,8,0.0,1
Brooklyn,3425480,5517,14,312.0,2015-10-14,2015-10-14,NB,NB,2015,10,0.0,1
Brooklyn,3425495,3043,27,301.0,2015-11-12,2015-11-12,NB,NB,2015,11,0.0,1
Queens,4617743,598,6,401.0,2015-12-28,2015-12-28,NB,NB,2015,12,0.0,1
Brooklyn,3425311,2295,21,301.0,2016-09-01,2016-09-01,NB,NB,2016,9,0.0,1
Brooklyn,3425167,1601,15,303.0,2016-12-12,2016-12-12,NB,NB,2016,12,0.0,1
Staten Island,5050314,3401,20,502.0,2017-12-05,2017-12-05,NB,NB,2017,12,0.0,1
Brooklyn,3425720,1046,37,307.0,2016-10-21,2016-11-03,NB,NB,2016,10,13.0,1
Staten Island,5166736,475,41,501.0,2017-12-08,2017-12-08,NB,NB,2017,12,0.0,1
Brooklyn,3424684,171,201,302.0,2017-12-20,2017-12-20,NB,NB,2017,12,0.0,1
Brooklyn,3425753,3217,10,304.0,2017-10-25,2017-10-25,NB,NB,2017,10,0.0,1
Queens,4111993,4949,75,407.0,2019-10-17,2019-10-17,NB,NB,2019,10,0.0,1
Staten Island,5105630,3815,31,502.0,2017-12-29,2017-12-29,NB,NB,2017,12,0.0,1
Queens,4618243,6423,33,407.0,2017-08-04,2017-08-04,NB,NB,2017,8,0.0,1
Brooklyn,3425775,1791,1,303.0,2017-09-14,2017-09-14,NB,NB,2017,9,0.0,1
Bronx,2128766,2952,21,206.0,2018-01-10,2018-01-10,NB,NB,2018,1,0.0,1
Brooklyn,3425570,295,111,306.0,2017-01-27,2017-01-27,NB,NB,2017,1,0.0,1
Brooklyn,3425135,1864,14,303.0,2018-01-12,2018-01-12,NB,NB,2018,1,0.0,1
Bronx,2128428,3788,13,209.0,2018-01-22,2018-01-22,NB,NB,2018,1,0.0,1
Queens,4296918,15315,49,414.0,2018-01-23,2018-01-23,NB,NB,2018,1,0.0,1
Manhattan,1090563,1540,2,108.0,2015-06-03,2015-06-03,NB,NB,2015,6,0.0,1
Brooklyn,3425776,1971,28,303.0,2018-02-15,2018-02-15,NB,NB,2018,2,0.0,1
Staten Island,5167653,158,155,501.0,2018-02-16,2018-02-16,NB,NB,2018,2,0.0,1
Manhattan,1090882,440,29,103.0,2016-05-12,2016-05-13,NB,NB,2016,5,1.0,1
Staten Island,5164407,7775,195,503.0,2018-03-06,2018-03-06,NB,NB,2018,3,0.0,1
Staten Island,5069185,5348,124,503.0,2018-03-06,2018-03-06,NB,NB,2018,3,0.0,1
Staten Island,5170170,6228,75,503.0,2018-03-19,2018-03-19,NB,NB,2018,3,0.0,1
Brooklyn,3422390,3377,32,304.0,2018-03-19,2018-03-19,NB,NB,2018,3,0.0,1
Queens,4555034,9580,9,410.0,2018-03-22,2018-03-22,NB,NB,2018,3,0.0,1
Brooklyn,3010916,728,21,307.0,2018-03-08,2018-04-02,NB,NB,2018,3,25.0,1
Manhattan,1018013,878,15,105.0,2018-04-03,2018-04-03,NB,NB,2018,4,0.0,1
Bronx,2128973,3827,215,209.0,2018-03-29,2018-04-05,NB,NB,2018,3,7.0,1
Staten Island,5169047,3736,26,502.0,2018-04-05,2018-04-05,NB,NB,2018,4,0.0,1
Brooklyn,3006423,403,20,306.0,2018-04-11,2018-04-11,NB,NB,2018,4,0.0,1
Manhattan,1003688,285,8,103.0,2018-04-16,2018-04-16,NB,NB,2018,4,0.0,1
Staten Island,5170294,1086,98,501.0,2018-04-17,2018-04-17,NB,NB,2018,4,0.0,1
Queens,4607502,10816,39,412.0,2018-04-20,2018-04-20,NB,NB,2018,4,0.0,1
Manhattan,1090375,412,12,103.0,2018-04-25,2018-04-25,NB,NB,2018,4,0.0,1
Staten Island,5169765,1700,82,501.0,2018-05-03,2018-05-03,NB,NB,2018,5,0.0,1
Brooklyn,3853124,5495,911,312.0,2019-10-24,2019-10-24,NB,NB,2019,10,0.0,1
Queens,4618508,4946,65,407.0,2017-12-04,2017-12-04,NB,NB,2017,12,0.0,1
Brooklyn,3321848,8883,962,315.0,2018-05-10,2018-05-11,NB,NB,2018,5,1.0,1
Queens,4107521,4737,54,407.0,2018-05-08,2018-05-15,NB,NB,2018,5,7.0,1
Queens,4615421,3582,16,405.0,2018-05-08,2018-05-15,NB,NB,2018,5,7.0,1
Brooklyn,3422390,3377,32,304.0,2018-05-14,2018-05-23,NB,NB,2018,5,9.0,1
Brooklyn,3421801,4062,30,305.0,2018-05-25,2018-05-25,NB,NB,2018,5,0.0,1
Brooklyn,3426035,1747,2,303.0,2018-05-15,2018-05-15,NB,NB,2018,5,0.0,1
Brooklyn,3171719,6541,35,312.0,2018-06-05,2018-06-05,NB,NB,2018,6,0.0,1
Manhattan,1054682,1790,1,111.0,2019-10-29,2019-10-29,NB,NB,2019,10,0.0,1
Brooklyn,3856329,1664,77,303.0,2018-06-15,2018-06-15,NB,NB,2018,6,0.0,1
Brooklyn,3160445,6230,39,311.0,2018-06-19,2018-06-19,NB,NB,2018,6,0.0,1
Brooklyn,3418117,1390,16,308.0,2018-06-19,2018-06-19,NB,NB,2018,6,0.0,1
Queens,4622995,573,45,401.0,2018-06-21,2018-06-21,NB,NB,2018,6,0.0,1
Brooklyn,3425055,5968,69,310.0,2018-06-22,2018-06-22,NB,NB,2018,6,0.0,1
Brooklyn,3424222,7072,2,313.0,2019-10-10,2019-10-29,NB,NB,2019,10,19.0,1
Brooklyn,3057751,2017,8,303.0,2018-06-26,2018-06-26,NB,NB,2018,6,0.0,1
Staten Island,5164075,4633,261,503.0,2018-06-26,2018-06-26,NB,NB,2018,6,0.0,1
Queens,4618575,4949,31,407.0,2016-11-03,2016-11-14,NB,NB,2016,11,11.0,1
Brooklyn,3855901,42,16,302.0,2018-07-05,2018-07-05,NB,NB,2018,7,0.0,1
Brooklyn,3426126,5108,62,317.0,2017-06-19,2017-06-19,NB,NB,2017,6,0.0,1
Brooklyn,3424859,187,17,302.0,2018-07-11,2018-07-11,NB,NB,2018,7,0.0,1
Queens,4618621,4551,8,407.0,2017-01-06,2017-01-06,NB,NB,2017,1,0.0,1
Queens,4101696,4466,18,407.0,2018-03-30,2018-07-13,NB,NB,2018,3,105.0,1
Brooklyn,3425049,2414,2,301.0,2018-07-10,2018-07-13,NB,NB,2018,7,3.0,1
Manhattan,1082350,1989,1,109.0,2018-07-17,2018-07-17,NB,NB,2018,7,0.0,1
Brooklyn,3426817,2357,1,301.0,2018-07-25,2018-07-25,NB,NB,2018,7,0.0,1
Queens,4615947,15910,66,414.0,2018-07-19,2018-07-19,NB,NB,2018,7,0.0,1
Brooklyn,3063978,2505,50,301.0,2018-07-19,2018-07-19,NB,NB,2018,7,0.0,1
Brooklyn,3192056,7109,72,315.0,2018-07-25,2018-07-25,NB,NB,2018,7,0.0,1
Queens,4617821,423,29,402.0,2017-12-12,2017-12-14,NB,NB,2017,12,2.0,1
Brooklyn,3107160,4809,23,309.0,2019-11-04,2019-11-04,NB,NB,2019,11,0.0,1
Manhattan,1090067,1034,44,104.0,2018-08-07,2018-08-07,NB,NB,2018,8,0.0,1
Bronx,2128359,3060,3,206.0,2018-08-08,2018-08-08,NB,NB,2018,8,0.0,1
Queens,4536589,10146,33,412.0,2018-08-17,2018-08-17,NB,NB,2018,8,0.0,1
Staten Island,5860006,7868,19,503.0,2018-08-17,2018-08-20,NB,NB,2018,8,3.0,1
Queens,4617277,13609,34,413.0,2018-08-23,2018-08-23,NB,NB,2018,8,0.0,1
Brooklyn,3426584,1699,33,303.0,2018-08-30,2018-08-30,NB,NB,2018,8,0.0,1
Brooklyn,3426284,4809,19,309.0,2018-02-13,2018-02-13,NB,NB,2018,2,0.0,1
Brooklyn,3022819,1021,45,306.0,2018-09-04,2018-09-04,NB,NB,2018,9,0.0,1
Bronx,2129118,3016,11,206.0,2018-09-07,2018-09-07,NB,NB,2018,9,0.0,1
Bronx,2127491,4980,78,212.0,2019-10-29,2019-11-07,NB,NB,2019,10,9.0,1
Queens,4302545,16030,13,414.0,2018-09-19,2018-09-19,NB,NB,2018,9,0.0,1
Queens,4618775,12037,8,412.0,2018-09-19,2018-09-19,NB,NB,2018,9,0.0,1
Queens,4295069,14163,37,410.0,2018-09-19,2018-09-19,NB,NB,2018,9,0.0,1
Brooklyn,3426250,1667,34,303.0,2015-06-15,2015-06-15,NB,NB,2015,6,0.0,1
Brooklyn,3426277,1691,10,303.0,2017-06-21,2017-06-21,NB,NB,2017,6,0.0,1
Bronx,2128945,3240,62,207.0,2018-09-24,2018-09-24,NB,NB,2018,9,0.0,1
Queens,4052302,2220,49,406.0,2018-09-27,2018-09-27,NB,NB,2018,9,0.0,1
Queens,4596248,15542,51,414.0,2018-09-25,2018-09-27,NB,NB,2018,9,2.0,1
Queens,4618554,12399,322,412.0,2018-10-01,2018-10-01,NB,NB,2018,10,0.0,1
Bronx,2129181,2523,169,204.0,2018-10-15,2018-10-15,NB,NB,2018,10,0.0,1
Queens,4175875,8622,60,413.0,2018-10-16,2018-10-16,NB,NB,2018,10,0.0,1
Queens,4301909,15849,21,414.0,2018-10-17,2018-10-17,NB,NB,2018,10,0.0,1
Staten Island,5170585,4500,10,503.0,2018-10-22,2018-10-22,NB,NB,2018,10,0.0,1
Brooklyn,3426044,922,37,307.0,2018-10-29,2018-10-29,NB,NB,2018,10,0.0,1
Queens,4608253,9999,9,412.0,2018-10-31,2018-10-31,NB,NB,2018,10,0.0,1
