borough,bin__,block,lot,community_board,filing_date,issuance_date,permit_type,job_type
QUEENS,4101696,04466,00018,407,2018-03-30 ,2018-07-13 ,NB,NB
BRONX,2128973,03827,00215,209,2018-03-29 ,2018-04-05 ,NB,NB
QUEENS,4555034,09580,00009,410,2018-03-22 ,2018-03-22 ,NB,NB
STATEN ISLAND,5170170,06228,00075,503,2018-03-19 ,2018-03-19 ,NB,NB
BROOKLYN,3422390,03377,00032,304,2018-03-19 ,2018-03-19 ,NB,NB
BROOKLYN,3010916,00728,00021,307,2018-03-08 ,2018-04-02 ,NB,NB
STATEN ISLAND,5164407,07775,00195,503,2018-03-06 ,2018-03-06 ,NB,NB
STATEN ISLAND,5069185,05348,00124,503,2018-03-06 ,2018-03-06 ,NB,NB
STATEN ISLAND,5167653,00158,00155,501,2018-02-16 ,2018-02-16 ,NB,NB
BROOKLYN,3425776,01971,00028,303,2018-02-15 ,2018-02-15 ,NB,NB
BROOKLYN,3426284,04809,00019,309,2018-02-13 ,2018-02-13 ,NB,NB
QUEENS,4296918,15315,00049,414,2018-01-23 ,2018-01-23 ,NB,NB
BRONX,2128428,03788,00013,209,2018-01-22 ,2018-01-22 ,NB,NB
BROOKLYN,3425135,01864,00014,303,2018-01-12 ,2018-01-12 ,NB,NB
BRONX,2128766,02952,00021,206,2018-01-10 ,2018-01-10 ,NB,NB
STATEN ISLAND,5105630,03815,00031,502,2017-12-29 ,2017-12-29 ,NB,NB
BROOKLYN,3424684,00171,00201,302,2017-12-20 ,2017-12-20 ,NB,NB
QUEENS,4617821,00423,00029,402,2017-12-12 ,2017-12-14 ,NB,NB
STATEN ISLAND,5166736,00475,00041,501,2017-12-08 ,2017-12-08 ,NB,NB
STATEN ISLAND,5050314,03401,00020,502,2017-12-05 ,2017-12-05 ,NB,NB
QUEENS,4618508,04946,00065,407,2017-12-04 ,2017-12-04 ,NB,NB
BROOKLYN,3845877,05404,00040,312,2017-11-16 ,2017-11-16 ,NB,NB
BRONX,2127104,02351,00050,201,2017-11-14 ,2017-11-14 ,NB,NB
BRONX,2127104,02351,00050,201,2017-11-13 ,2017-11-13 ,NB,NB
QUEENS,4615090,15950,07501,414,2017-11-08 ,2017-11-08 ,NB,NB
BROOKLYN,3425402,02559,00024,301,2017-11-03 ,2017-11-06 ,NB,NB
STATEN ISLAND,5169462,00302,00018,501,2017-10-26 ,2017-10-26 ,NB,NB
QUEENS,4036396,01479,00011,403,2017-10-25 ,2017-10-25 ,NB,NB
STATEN ISLAND,5169577,06371,00052,503,2017-10-25 ,2017-10-25 ,NB,NB
BROOKLYN,3425753,03217,00010,304,2017-10-25 ,2017-10-25 ,NB,NB
MANHATTAN,1089701,00863,00018,105,2017-10-19 ,2017-10-19 ,NB,NB
STATEN ISLAND,5152953,00498,00071,501,2017-10-19 ,2017-10-19 ,NB,NB
QUEENS,4114969,05062,00006,407,2017-10-13 ,2017-10-13 ,NB,NB
BROOKLYN,3418326,05090,00086,317,2017-09-15 ,2017-09-15 ,NB,NB
BROOKLYN,3425775,01791,00001,303,2017-09-14 ,2017-09-14 ,NB,NB
BROOKLYN,3421468,08664,00470,313,2017-09-06 ,2017-09-06 ,NB,NB
BROOKLYN,3205375,07473,00009,315,2017-09-06 ,2017-09-06 ,NB,NB
MANHATTAN,1090374,00838,00010,105,2017-08-30 ,2017-08-31 ,NB,NB
BROOKLYN,3424166,02245,00062,301,2017-08-30 ,2017-08-30 ,NB,NB
QUEENS,4616955,15609,00010,414,2017-08-25 ,2017-08-25 ,NB,NB
QUEENS,4619730,06896,00025,408,2017-08-25 ,2017-08-25 ,NB,NB
QUEENS,4616926,15608,00056,414,2017-08-25 ,2017-08-25 ,NB,NB
BROOKLYN,3413716,00940,00111,306,2017-08-22 ,2017-08-22 ,NB,NB
STATEN ISLAND,5166652,03734,00020,502,2017-08-17 ,2017-08-17 ,NB,NB
STATEN ISLAND,5165166,00138,00111,501,2017-08-09 ,2017-08-09 ,NB,NB
QUEENS,4618243,06423,00033,407,2017-08-04 ,2017-08-04 ,NB,NB
BRONX,2128352,05330,00031,210,2017-07-28 ,2017-07-28 ,NB,NB
MANHATTAN,1047589,01510,00059,108,2017-07-26 ,2017-07-26 ,NB,NB
BROOKLYN,3408189,02336,00038,301,2017-07-24 ,2017-07-24 ,NB,NB
BROOKLYN,3138179,05651,00060,312,2017-07-21 ,2017-07-21 ,NB,NB
BROOKLYN,3138180,05651,00062,312,2017-07-21 ,2017-07-21 ,NB,NB
QUEENS,4315164,01892,00084,404,2017-07-20 ,2017-07-21 ,NB,NB
QUEENS,4005696,00516,00034,401,2017-07-17 ,2017-07-17 ,NB,NB
QUEENS,4607522,13299,00019,413,2017-07-14 ,2017-07-14 ,NB,NB
MANHATTAN,1089765,00490,00028,102,2017-07-12 ,2017-07-12 ,NB,NB
QUEENS,4609936,00597,00007,401,2017-06-27 ,2017-06-27 ,NB,NB
BROOKLYN,3062160,02333,00018,301,2017-06-23 ,2017-06-23 ,NB,NB
STATEN ISLAND,5169077,03803,00029,502,2017-06-22 ,2017-06-22 ,NB,NB
BROOKLYN,3426277,01691,00010,303,2017-06-21 ,2017-06-21 ,NB,NB
BROOKLYN,3426126,05108,00062,317,2017-06-19 ,2017-06-19 ,NB,NB
STATEN ISLAND,5054505,03790,00056,502,2017-05-19 ,2017-05-19 ,NB,NB
MANHATTAN,1090211,00441,07504,103,2017-05-18 ,2017-05-18 ,NB,NB
